Car;Surface;Temp;Tires;Season;WheelFront;WheelRear;Speed;WhPerKm;Capacity;Range100;Mi;Range75;ChargingTime75;KmPerH75
Porsche Taycan - Cross Turismo 4;Dry;16;Goodyear Eagle F1;Summer;265/35-21;305/30-21;120;255;84,6;327;203;213;18;709
Tesla Model 3 - Performance;Dry;20;Pirelli P Zero;Summer;235/35-20;235/35-20;90;147;76,5;520;323;338;28;724
Tesla Model 3 - Performance;Dry;20;Pirelli P Zero;Summer;235/35-20;235/35-20;120;197;76;386;240;251;28;538
Tesla Model Y - Performance;Dry;19;Pirelli P Zero;Summer;255/35-21;275/35-21;90;146;74,4;510;317;332;28;710
Tesla Model Y - Performance;Dry;18;Pirelli P Zero;Summer;255/35-21;275/35-21;120;205;74;361;224;235;28;503
VW ID5 - GTX 82 kWh;Dry;20;Pirelli Scorpion;Summer;235/45-21;255/40-21;90;154;73,4;477;296;310;34;547
VW ID5 - GTX 82 kWh;Dry;20;Pirelli Scorpion;Summer;235/45-21;255/40-21;120;220;73,4;334;207;239;34;421
Mercedes EQE - 43 AMG;Dry;25;Yokohama Advan Sport;Summer;265/40-20;295/35-20;90;184;89,4;487;302;317;27;703
Mercedes EQE - 43 AMG;Dry;20;Yokohama Advan Sport;Summer;265/40-20;295/35-20;120;252;89,4;355;220;231;27;513
Tesla Model Y - Performance;Dry;26;Falken Azenis FK520;Summer;255/45-19;255/45-19;90;145;74,4;513;319;333;28;715
Tesla Model Y - Performance;Dry;26;Falken Azenis FK520;Summer;255/45-19;255/45-19;120;197;74;376;234;244;28;524
BMW i4 - eDrive40;Dry;18;Hankook Ventus S1evo3;Summer;245/45-18;255/45-18;90;134;80,3;599;372;389;26;899
BMW i4 - eDrive40;Dry;20;Hankook Ventus S1evo3;Summer;245/45-18;255/45-18;120;184;80,3;436;271;283;26;654
Skoda Enyaq - Coupé RS;Dry;21;Pirelli Scorpion;Summer;235/45-21;255/40-21;90;153;73,4;477;296;310;34;547
Skoda Enyaq - Coupé RS;Dry;18;Pirelli Scorpion;Summer;235/45-21;255/40-21;120;212;73,4;346;215;225;34;397
Ford Mustang - Mach-E GT;Dry;16;Pirelli P Zero;Summer;245/45-20;245/45-20;90;198;85,6;432;268;281;40;421
Ford Mustang - Mach-E GT;Dry;14;Pirelli P Zero;Summer;245/45-20;245/45-20;120;271;85,6;316;196;205;40;308
BYD Tang;Dry;17;Continental ContiSportContact;Summer;265/40-22;265/40-22;90;216;83,4;386;240;251;37;407
BYD Tang;Dry;15;Continental ContiSportContact;Summer;265/40-22;265/40-22;120;317;83,4;263;163;171;37;277
BMW i4 - M50;Dry;18;Hankook Ventus S1evo3;Summer;245/40-19;255/40-19;90;155;80,3;518;322;337;26;777
BMW i4 - M50;Dry;16;Hankook Ventus S1evo3;Summer;245/40-19;255/40-19;120;217;80,3;370;230;241;26;555
Mercedes EQS - 450+;Dry;21;Goodyear Eagle F1;Summer;265/40-21;265/40-21;90;150;106,7;711;442;462;28;990
Mercedes EQS - 450+;Dry;20;Goodyear Eagle F1;Summer;265/40-21;265/40-21;120;198;106,7;539;335;350;28;751
Hongqi E-HS9 - 99 kWh 6 seater;Dry;18;Michelin PS4 SUV;Summer;265/45-21;265/45-21;90;218;86,5;402;250;261;33;475
Hongqi E-HS9 - 99 kWh 6 seater;Dry;13;Michelin PS4 SUV;Summer;265/45-21;265/45-21;120;321;86,5;269;167;175;33;318
MG Marvel - R Performance;Dry;12;Michelin Primacy 4;Summer;235/45-19;235/45-19;90;182;69,7;383;238;249;38;393
MG Marvel - R Performance;Dry;9;Michelin Primacy 4;Summer;235/45-19;235/45-19;120;284;69,7;245;152;159;38;251
Xpeng P7 - Performance Wing Edition;Dry;8;Michelin PS4;Summer;245/45-19;245/45-19;90;193;72,3;376;234;244;44;333
Xpeng P7 - Performance Wing Edition;Dry;4;Michelin PS4;Summer;245/45-19;245/45-19;120;242;72,3;299;186;194;44;265
Nissan Ariya - 63 kWh;Dry;13;Michelin Primacy 4;Summer;255/40-20;255/40-20;90;171;58,5;342;212;222;26;513
Nissan Ariya - 63 kWh;Dry;13;Michelin Primacy 4;Summer;255/40-20;255/40-20;120;252;58,5;232;144;151;26;348
Nissan Ariya - 87 kWh FWD;Dry;10;Michelin Primacy 4;Summer;255/40-20;255/40-20;90;179;79,9;447;278;291;30;581
Nissan Ariya - 87 kWh FWD;Dry;8;Michelin Primacy 4;Summer;255/40-20;255/40-20;120;259;79,9;308;191;200;30;400
Mercedes EQS - 580 4Matic;Dry;11;Goodyear Eagle F1;Summer;265/40-21;265/40-21;90;167;106,7;639;397;415;28;890
Mercedes EQS - 580 4Matic;Dry;11;Goodyear Eagle F1;Summer;265/40-21;265/40-21;120;223;106,7;478;297;311;28;666
Voyah Free;Dry;9;Michelin Primacy 4;Summer;255/45-20;255/45-20;90;229;97,6;426;265;277;;
Voyah Free;Dry;7;Michelin Primacy 4;Summer;255/45-20;255/45-20;120;298;97,6;328;204;213;;
Kia Niro - EV 64 kWh;Dry;12;Continental EC6;Summer;215/55-17;215/55-17;90;154;64,3;416;258;270;38;427
Kia Niro - EV 64 kWh;Dry;11;Continental EC6;Summer;215/55-17;215/55-17;120;223;64,3;288;179;187;38;296
Mercedes EQE - 53 4Matic+;Dry;12;Continental VC7;Winter;265/35-21;265/35-21;90;187;89,4;478;297;311;27;690
Mercedes EQE - 53 4Matic+;Dry;13;Continental VC7;Winter;265/35-21;265/35-21;120;248;89,4;360;224;234;27;520
VW ID Buzz - 82 kWh;Dry;10;Hankook Ventus S1evo3;Summer;235/45-21;265/40-21;90;206;74,5;362;225;235;26;543
VW ID Buzz - 82 kWh;Dry/wet;7;Hankook Ventus S1evo3;Summer;235/45-21;265/40-21;120;302;74,5;247;153;161;26;371
Mercedes EQE - 300;Dry;9;Nokian R5;Winter;255/45-19;255/45-19;90;163;89,4;548;340;356;27;792
Mercedes EQE - 300;Dry;9;Nokian R5;Winter;255/45-19;255/45-19;120;218;89,4;411;255;267;27;594
Mercedes EQV - 300;Dry/wet;4;Nokian R3;Winter;245/55-17;245/55-17;90;293;84,5;299;186;194;38;307
Mercedes EQV - 300;Wet;4;Nokian R3;Winter;245/55-17;245/55-17;120;404;84,5;209;130;136;38;215
MG 5;Wet;6;Nokian R5;Winter;215/50-17;215/50-17;90;173;55,5;321;199;209;30;417
MG 5;Wet;6;Nokian R5;Winter;215/50-17;215/50-17;120;247;55,5;225;140;146;30;293
VW ID Buzz - Cargo 82 kWh;Dry/wet;10;Continental EcoContact 6Q;Winter;235/50-20;265/45-20;90;209;74,5;356;221;231;26;534
VW ID Buzz - Cargo 82 kWh w/trailer;Dry/wet;9;Continental EcoContact 6Q;Winter;235/50-20;265/45-20;90;340;74,5;219;136;142;26;329
VW ID Buzz - Cargo 82 kWh;Dry/wet;10;Continental EcoContact 6Q;Winter;235/50-20;265/45-20;120;285;74,5;261;162;170;26;392
Renault Megane E-Tech - 60 kWh;Dry;13;Nokian R3;Winter;215/45-20;215/45-20;90;147;54,5;371;230;241;33;438
Renault Megane E-Tech - 60 kWh;Dry;13;Nokian R3;Winter;215/45-20;215/45-20;120;199;54,5;274;170;178;33;324
Nissan Ariya - 87 kWh FWD;Wet;1;Continental VC7;Winter;235/55-19;235/55-19;90;194;79,9;412;256;268;30;536
Nissan Ariya - 87 kWh FWD;Wet;1;Continental VC7;Winter;235/55-19;235/55-19;120;274;79,9;292;181;190;30;380
MG ZS EV - 72 kWh;Wet;2;Continental VC7;Winter;215/50-17;215/50-17;90;190;67,6;356;221;231;35;397
MG ZS EV - 72 kWh;Wet;2;Continental VC7;Winter;215/50-17;215/50-17;120;260;67,6;260;161;169;35;290
VW ID Buzz - Cargo 82 kWh;Dry;-4;Continental VC7;Winter;235/50-20;265/45-20;90;266;74,5;280;174;182;26;420
VW ID Buzz - Cargo 82 kWh;Dry;-4;Continental VC7;Winter;235/50-20;265/45-20;120;355;74,5;210;130;137;26;315
BYD Atto 3 - 60 kWh;Dry;25;Atlas Batman A51;Summer;215/55-18;215/55-18;90;134;59,6;445;276;289;40;434
Ora Good Cat - 500 Ultra;Dry;20;GitiComfort;Summer;215/50-18;215/50-18;90;140;59;420;261;273;49;334
Ora Good Cat - GT;Dry;27;GitiComfort;Summer;215/50-18;215/50-18;90;148;56,8;384;239;250;49;306
Tesla Model Y - RWD;Dry;20;Hankook Ventus S1evo3;Summer;255/45-19;255/45-19;90;129;56,8;440;273;286;27;636
BMW i7 - xDrive60;Dry;30;Bridgestone Turanza;Summer;255/40-21;285/35-21;90;160;101;631;392;410;29;849
Volvo XC40 - 78 kWh AWD;Dry;20;Pirelli P Zero;Summer;235/50-19;255/45-19;90;185;75;405;252;263;34;465
Volvo XC40 - 78 kWh AWD;Dry;19;Pirelli P Zero;Summer;235/50-19;255/45-19;120;261;75;288;179;187;34;330
MG4 - 51 kWh;Dry;20;Continental PremiumContact C;Summer;215/50-17;215/50-17;90;150;49,5;330;205;215;31;415
MG4 - 51 kWh;Dry;20;Continental PremiumContact C;Summer;215/50-17;215/50-17;120;219;49,5;226;140;147;31;284
Mercedes EQS - 500 4Matic;Dry;21;Goodyear Eagle F1;Summer;265/40-21;265/40-21;90;160;108,4;678;421;441;28;944
Mercedes EQS - 500 4Matic;Dry;20;Goodyear Eagle F1;Summer;265/40-21;265/40-21;120;210;108,4;516;320;335;28;719
Tesla Model S - Plaid;Wet;5;Nokian R5;Winter;245/45-19;275/40-19;90;170;92,1;542;337;352;25;846
Tesla Model S - Plaid;Wet;6;Nokian R5;Winter;245/45-19;275/40-19;120;235;92,1;392;243;255;25;612
Tesla Model S - LR Palladium;Dry;8;Nokian R5;Winter;245/45-19;275/40-19;90;157;92,1;587;365;382;25;916
Tesla Model S - LR Palladium;Dry;7;Nokian R5;Winter;245/45-19;275/40-19;120;216;92,1;426;265;277;25;665
